No.,id,Address,飲水機數量(台),備註,indoor,level,repeat_on,opening_hours,operator,行政區,Address2,Response_Address,Response_X,Response_Y,Similarity,精確程度,Check2
201,198,臺中市和平區達觀里東崎路一段50號,1,8-17時,,,,,達觀里辦公處,和平區,臺中市和平區達觀里東崎路一段50號,臺中市和平區達觀里3鄰東崎路一段50號,120.920702,24.326833,0.9750,OK,1
202,199,臺中市和平區南勢里東關路三段156號,1,8-17時,,,,,和平區圖書館,和平區,臺中市和平區南勢里東關路三段156號,臺中市和平區南勢里10鄰東關路三段156號,120.883649,24.175149,0.9680,OK,0
203,200,臺中市石岡區石城街1號,2,,,,,,臺中市政府觀光旅遊局(石岡旅客服務中心),石岡區,臺中市石岡區石城街1號,臺中市石岡區萬安里11鄰石城街1號,120.778717,24.276014,0.9120,OK,1
205,201,臺中市神岡區神岡路2號,1,,,,,,臺中市神岡區衛生所,神岡區,臺中市神岡區神岡路2號,臺中市神岡區神岡里14鄰神岡路2號,120.662818,24.25813,0.9250,OK,1
206,202,臺中市北區永興街301號,1,4樓,yes,4,,,臺中市北區衛生所,北區,臺中市北區永興街301號,臺中市北區賴厝里1鄰永興街301號,120.682234,24.166042,0.9308,OK,1
207,203,臺中市西區金山路11號,4,04-22245200,,,,,臺中市西區區公所,西區,臺中市西區金山路11號,臺中市西區平和里8鄰金山路11號,120.671164,24.14117,0.9250,OK,1
208,204,臺中市西區柳川西街2段47號,1,04-23722273,,,,,財團法人臺灣省臺中市大覺院,西區,臺中市西區柳川西街2段47號,臺中市西區公?里20鄰柳川西路二段47號,120.664887,24.134958,0.3398,OK,1
209,205,臺中市西區三民路一段113號,1,04-23715417,,,,,財團法人臺灣省臺中市觀善寺,西區,臺中市西區三民路一段113號,臺中市西區藍興里8鄰三民路一段113號,120.669877,24.13369,0.9032,OK,1
210,206,臺中市西區居仁街2號,2,04-22231671,,,,,財團法人臺灣省臺中市法華寺,西區,臺中市西區居仁街2號,臺中市西區民生里15鄰居仁街2號,120.681158,24.135643,0.5056,OK,1
211,207,臺中市西區向上路一段128之1號,1,04-23013049,,,,,財團法人臺中市三元寺,西區,臺中市西區向上路一段128之1號,臺中市西區中興里1鄰向上路一段128之1號,120.662707,24.147062,0.9478,OK,1
212,208,臺中市西區台灣大道二段482巷35號,1,04-23224697,,,,,財團法人臺中市天道三佛院,西區,臺中市西區台灣大道二段482巷35號,臺中市西區忠明里15鄰臺灣大道二段482巷35號,120.662178,24.157784,0.7486,OK,1
213,209,臺中市西區梅川東路一段81號,1,04-22010563,,,,,財團法人臺中市均安宮,西區,臺中市西區梅川東路一段81號,臺中市西區後龍里23鄰梅川東路一段81號,120.67179,24.147768,0.9241,OK,1
214,210,臺中市西區建國北路三段1號,1,04-23716437,,,,,財團法人臺中市慈聖宮,西區,臺中市西區建國北路三段1號,臺中市西區藍興里16鄰建國北路三段1號,120.668402,24.13025,0.8933,OK,1
215,211,臺中市西區中興街363號,1,04-23225208,,,,,財團法人臺灣省臺中市應天宮蘇府王爺廟,西區,臺中市大里區中興路一段163號,臺中市大里區東湖里30鄰中興路一段163號,120.695662,24.087683,0.6405,,0
216,212,臺中市西區公正路210巷1號,1,04-23019796.0923-188598,,,,,財團法人臺中市公正福德祠,西區,臺中市西區公正路210巷1號,臺中市西區公益里17鄰公正路210巷41之1號,120.659376,24.150257,0.8947,,1
217,213,臺中市西區五權路92號,1,04-22015937,,,,,台中佛教居士林,西區,臺中市西區五權路92號,臺中市西區後龍里24鄰五權路92號,120.673197,24.146941,0.9154,OK,1
218,214,臺中市西區四維街3巷1號,1,04-22241817,,,,,菩提場,西區,臺中市西區四維街3巷1號,臺中市西區利民里5鄰四維街3巷1號,120.676286,24.136462,0.9091,OK,1
219,215,臺中市西區福人街90巷3號,1,04-23731819,,,,,正覺佛堂,西區,臺中市西區福人街90巷3號,臺中市西區昇平里33鄰福人街90巷3號,120.659097,24.143207,0.9212,OK,1
220,216,臺中市西區中美街477號,1,04-23251975,,,,,臺中市長春堂,西區,臺中市西區中美街477號,臺中市西區忠明里1鄰中美街477號,120.661117,24.15541,0.9185,OK,1
